"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Significance","GeneLabel"
"AC004041.2",50.3361748079478,-0.347106519464959,0.289560037919797,-1.19873765025926,0.230629973261794,0.534050377026681,"Not Significant",""
"AC004057.1",1928.55075165842,-0.00693347477937142,0.0630076664863179,-0.110041764217328,0.91237625296293,0.969659769375411,"Not Significant",""
"AC004074.3",94.6880886666945,-0.0882740241303709,0.231805399016823,-0.380810906496464,0.70334356576676,0.88851089184214,"Not Significant",""
"AC004158.2",108.067628128011,-0.175131796192418,0.212548383069766,-0.823962025318882,0.409961135565608,0.709290122145287,"Not Significant",""
"AC004166.6",70.840984178017,0.36548624371841,0.278622235708816,1.31176265522603,0.189600228970751,0.477831872390535,"Not Significant",""
"AC004257.3",43.3179778958297,0.216746244609259,0.306613922654845,0.706902813585703,0.479626875390486,0.759574057488384,"Not Significant",""
"AC004381.6",221.798137844839,-0.301708189578668,0.141485419656239,-2.13243308258699,0.0329712601620361,0.159194597296114,"Not Significant",""
"AC004447.2",47.6225706453741,-0.432676578722859,0.300945231780502,-1.4377253168724,0.150512006849616,0.418576558785897,"Not Significant",""
"AC004453.8",1936.50463348297,0.188778882070097,0.0534465976644073,3.53210288998086,0.000412268913790407,0.00552925366730664,"Not Significant",""
"AC004463.6",91.9528016680435,-0.157902500223681,0.226609099394894,-0.696805647457769,0.485924431345844,0.764620896393315,"Not Significant",""
"AC004471.9",43.2768840982496,-0.716647289849131,0.337074821859933,-2.126077782656,0.0334967835125511,0.160760396872652,"Not Significant",""
"AC004593.3",63.4606842796304,0.169829183154914,0.26566430475337,0.639262332636579,0.522652288212157,0.789529674744054,"Not Significant",""
"AC004797.1",698.631185568721,-0.105334215242375,0.0840785836584938,-1.25280672745649,0.210276052741787,0.505910661435804,"Not Significant",""
"AC004837.5",39.9710197379874,0.174160446681281,0.375190485625579,0.464192066040513,0.642510145021732,0.857007313876727,"Not Significant",""
"AC004840.9",207.204315958646,-0.125465824965317,0.148622943156249,-0.844188806255933,0.398563908621262,0.700197995978985,"Not Significant",""
"AC004893.10",61.2263579293697,-0.258873079222754,0.267649735255476,-0.967208426250283,0.3334398506986,0.645641494346333,"Not Significant",""
"AC004893.11",265.688978577969,-0.0231129086362593,0.125803587873615,-0.183722173802221,0.854231412822117,0.948168473539825,"Not Significant",""
"AC004951.5",48.5469425930898,0.00157848264061034,0.317959830387799,0.00496440899054809,0.996038990983017,0.999071872469177,"Not Significant",""
"AC004951.6",90.9456591254427,0.0683999881638091,0.213329411955396,0.320630838180487,0.74849016499498,0.904780273515637,"Not Significant",""
"AC004967.7",121.585217884531,-0.153010549228064,0.193916277920377,-0.789054693442966,0.430080040610617,0.724148084939793,"Not Significant",""
"AC004980.7",267.053141525767,-0.0604995431908443,0.149490333069083,-0.404705387624537,0.685694081482982,0.879998250636056,"Not Significant",""
"AC004987.9",58.402702936834,0.126549992837998,0.297377913042495,0.425552763967088,0.670433766145594,0.872466736430617,"Not Significant",""
"AC005041.17",58.238844293016,-0.109444475813221,0.282811670925023,-0.386987126292381,0.698765738610109,0.886294488272623,"Not Significant",""
"AC005042.2",139.208129773657,0.111427320800288,0.188306122520926,0.591734986141547,0.554028064715921,0.809063455490298,"Not Significant",""
"AC005042.4",253.504735856484,0.322799474073384,0.145165968375873,2.2236580493685,0.0261714597292049,0.135375377656348,"Not Significant",""
"AC005077.12",121.130835542714,0.37247578815897,0.198441152239317,1.87700879558374,0.0605168883735142,0.23897339492522,"Not Significant",""
"AC005077.14",98.8332374993986,0.402665652957832,0.209937930174566,1.91802240130219,0.0551081707501498,0.224431601335804,"Not Significant",""
"AC005154.6",1279.00079735683,0.050830844940121,0.0634407393631851,0.801233488927752,0.422996487197724,0.719133753476807,"Not Significant",""
"AC005355.2",95.0747930158199,0.0867790177009705,0.236764081448427,0.366521041410047,0.713976314566008,0.892286946055771,"Not Significant",""
"AC005356.1",54.1011718117975,0.176800857966502,0.300676421948506,0.588010382792106,0.556525323743177,0.810865454224706,"Not Significant",""
"AC005522.7",41.6294876248697,-0.266503230818751,0.330296443719649,-0.806860733399101,0.419746723815961,0.716687729319158,"Not Significant",""
"AC005550.3",104.4283246302,-0.21504137577416,0.211432810676196,-1.01706719541978,0.309121464619349,0.622594949858598,"Not Significant",""
"AC005592.2",131.353861073673,0.326844362053023,0.196972221397397,1.65934241759707,0.0970468124036146,0.322255935683407,"Not Significant",""
"AC005822.1",147.384570450098,-0.0344689220447195,0.172108127582799,-0.200274807057773,0.841265664446225,0.942331202548501,"Not Significant",""
"AC006042.6",115.913207737408,0.0671847996522738,0.187163437676271,0.358963270211357,0.719622566646505,0.893983695939537,"Not Significant",""
"AC006042.8",67.825489131231,-0.124760359576252,0.260933248988984,-0.478131323086076,0.632556739214604,0.853390157046921,"Not Significant",""
"AC006116.19",48.6494977199773,-0.0412088927846589,0.3083217471002,-0.133655485453858,0.893675006702606,0.962105300722538,"Not Significant",""
"AC006116.20",518.427920632252,-0.093473975001321,0.0948155255245072,-0.985850940383815,0.32420626419933,0.636296717970663,"Not Significant",""
"AC006486.1",56.8186872389472,-0.412042530282839,0.273875964876824,-1.50448591013876,0.132456298569746,0.388377137220082,"Not Significant",""
"AC006547.13",186.464814005374,0.0768677254300641,0.154510475139067,0.497492000855472,0.618842142394529,0.846311578427457,"Not Significant",""
"AC006547.14",57.9734283133065,-0.00752820603763538,0.283927891884647,-0.0265144998177703,0.978846968483148,0.992173865247714,"Not Significant",""
"AC006557.1",41.7935874130569,-0.395087431656731,0.322924749152948,-1.22346593964405,0.221153761172238,0.521589733800759,"Not Significant",""
"AC006978.6",208.218854711545,-0.0862451400102879,0.16109729135132,-0.535360584196321,0.59240054029078,0.830828467734155,"Not Significant",""
"AC006994.1",48.8928792038853,0.310643552171478,0.337841313668361,0.919495454236891,0.357836482213073,0.666779459641573,"Not Significant",""
"AC007000.12",63.012383591105,-0.0434626605243319,0.266142686895262,-0.163305860594382,0.870277619761362,0.954316602356489,"Not Significant",""
"AC007038.7",187.131175521514,-0.0613484619664154,0.150292642247643,-0.408193382250405,0.683131706289703,0.878539481060327,"Not Significant",""
"AC007040.11",130.372110135569,-0.166883099752213,0.191243564999438,-0.872620732377075,0.38286983628598,0.687152828689037,"Not Significant",""
"AC007050.17",69.5192571464447,-0.359257866410269,0.249444817030119,-1.44022982993826,0.149802386357817,0.417322151342945,"Not Significant",""
"AC007255.8",56.1404066940711,0.0592697884180362,0.29512700655019,0.200828074363153,0.840833009961434,0.941918876198161,"Not Significant",""
"AC007256.5",48.8002981450118,0.0940887083333106,0.308540307227709,0.3049478662244,0.760405858907733,0.908034163976821,"Not Significant",""
"AC007308.6",120.751847273364,-0.0193899782091132,0.183568462732466,-0.105628046999403,0.91587747094427,0.970903309554579,"Not Significant",""
"AC007318.5",1267.29122236221,0.0836180868439933,0.0669115472497715,1.24968096361393,0.211416113981559,0.507482141013144,"Not Significant",""
"AC007319.1",388.370186948223,0.0462759450903982,0.110809106180061,0.417618611733963,0.676225986817805,0.875475964834124,"Not Significant",""
"AC007401.1",47.2607470577307,0.164434476928666,0.301591960744269,0.545221684699003,0.585601059203026,0.826390515558714,"Not Significant",""
"AC007790.4",70.8934513938884,-0.449847148551,0.262413535233017,-1.71426808511057,0.0864795016658635,0.298394156611085,"Not Significant",""
"AC007919.19",50.2468804541927,0.14478044544892,0.313838211045952,0.461321917960212,0.644567662164052,0.858403881199037,"Not Significant",""
"AC007969.5",467.621704970938,-0.0694853039736018,0.103572762953593,-0.670883946629245,0.502294463855505,0.775799573023716,"Not Significant",""
"AC008132.12",57.1587349723676,-0.0694816253093959,0.269903745869865,-0.25743112636494,0.796845976984123,0.923385761922942,"Not Significant",""
